id,lego_count,bb_list
1_1212,1,"[(351, 28, 507, 243)]"
1_1213,1,"[(151, 258, 264, 357)]"
1_1214,1,"[(161, 88, 489, 441)]"
1_1215,1,"[(1198, 1887, 1529, 2225)]"
1_1216,1,"[(903, 1575, 1518, 2021)]"
1_1217,1,"[(382, 111, 463, 199)]"
1_1218,1,"[(181, 67, 256, 114)]"
1_1219,1,"[(1412, 1235, 1716, 1622)]"
1_122,1,"[(291, 336, 540, 606)]"
1_1220,1,"[(171, 285, 231, 401)]"
1_1221,1,"[(179, 183, 233, 224)]"
1_1222,1,"[(367, 762, 465, 877)]"
1_1223,1,"[(171, 173, 232, 249)]"
1_1224,1,"[(360, 94, 488, 226)]"
1_1225,1,"[(1041, 1102, 1536, 1569)]"
1_1226,1,"[(182, 83, 238, 122)]"
1_1227,1,"[(170, 409, 240, 493)]"
1_1228,1,"[(2019, 1289, 2474, 1768)]"
1_1229,1,"[(152, 209, 248, 296)]"
1_123,1,"[(192, 317, 223, 345)]"
1_1230,1,"[(165, 214, 252, 287)]"
1_1231,1,"[(1034, 1819, 1673, 2545)]"
1_1232,1,"[(137, 293, 410, 484)]"
1_1233,1,"[(183, 158, 233, 207)]"
1_1234,1,"[(385, 108, 455, 200)]"
1_1235,1,"[(363, 416, 465, 519)]"
1_1236,1,"[(160, 243, 252, 337)]"
1_1237,1,"[(979, 1537, 1853, 2581)]"
1_1238,1,"[(738, 1521, 1016, 1871)]"
1_1239,1,"[(1542, 1803, 2161, 2265)]"
1_124,1,"[(361, 712, 459, 907)]"
1_1240,1,"[(1842, 1298, 2224, 1653)]"
1_1241,1,"[(168, 176, 586, 442)]"
1_1242,1,"[(1882, 1310, 2267, 1960)]"
1_1243,1,"[(1312, 1657, 1567, 1986)]"
1_1244,1,"[(290, 84, 558, 233)]"
1_1245,1,"[(314, 707, 483, 896)]"
1_1246,1,"[(194, 56, 229, 84)]"
1_1247,1,"[(1326, 2487, 1937, 3144)]"
1_1248,1,"[(1286, 2139, 2089, 2699)]"
1_1249,1,"[(1822, 1357, 2444, 1943)]"
1_125,1,"[(1149, 1661, 1536, 2237)]"
1_1250,1,"[(190, 155, 220, 187)]"
1_1251,1,"[(163, 356, 245, 512)]"
1_1252,1,"[(395, 449, 447, 504)]"
1_1253,1,"[(163, 91, 255, 150)]"
1_1254,1,"[(1401, 998, 2012, 1615)]"
1_1255,1,"[(953, 1021, 1523, 1640)]"
1_1256,1,"[(1302, 1738, 1935, 2349)]"
1_1257,1,"[(524, 1342, 1654, 1536)]"
1_1258,1,"[(545, 1424, 1297, 1942)]"
1_1259,1,"[(983, 1413, 1579, 1987)]"
1_126,1,"[(155, 98, 308, 256)]"
1_1260,1,"[(1695, 1654, 2428, 2345)]"
1_1261,1,"[(166, 216, 250, 281)]"
1_1262,1,"[(369, 60, 473, 246)]"
1_1263,1,"[(177, 173, 230, 248)]"
1_1264,1,"[(1150, 1185, 1452, 1498)]"
1_1265,1,"[(1128, 1603, 1505, 2019)]"
1_1266,1,"[(340, 425, 493, 525)]"
1_1267,1,"[(385, 106, 475, 196)]"
1_1268,1,"[(975, 1002, 1597, 1478)]"
1_1269,1,"[(166, 150, 232, 205)]"
1_127,1,"[(352, 60, 495, 227)]"
1_1270,1,"[(142, 335, 271, 443)]"
1_1271,1,"[(182, 81, 229, 116)]"
1_1272,1,"[(1157, 1532, 1884, 2271)]"
1_1273,1,"[(1221, 1852, 1800, 2524)]"
1_1274,1,"[(167, 301, 246, 361)]"
1_1275,1,"[(1254, 1919, 2129, 2517)]"
1_1276,1,"[(358, 28, 483, 284)]"
1_1277,1,"[(268, 12, 578, 305)]"
1_1278,1,"[(1600, 957, 2684, 1640)]"
1_1279,1,"[(360, 414, 480, 543)]"
1_128,1,"[(352, 738, 473, 876)]"
1_1280,1,"[(1102, 1240, 1465, 1622)]"
1_1281,1,"[(153, 341, 254, 433)]"
1_1282,1,"[(1416, 1320, 1939, 1690)]"
1_1283,1,"[(371, 89, 482, 225)]"
1_1284,1,"[(163, 175, 253, 248)]"
1_1285,1,"[(284, 777, 536, 847)]"
1_1286,1,"[(2260, 282, 2867, 843)]"
1_1287,1,"[(1172, 1715, 1688, 2277)]"
1_1288,1,"[(842, 1172, 1229, 1488)]"
1_1289,1,"[(330, 102, 515, 214)]"
1_129,1,"[(1290, 1750, 1803, 2224)]"
1_1290,1,"[(1083, 1871, 1587, 2488)]"
1_1291,1,"[(1318, 1817, 1924, 2456)]"
1_1292,1,"[(1184, 1248, 1848, 1930)]"
1_1293,1,"[(1522, 1535, 2117, 2245)]"
1_1294,1,"[(998, 1402, 1602, 1989)]"
1_1295,1,"[(188, 106, 229, 142)]"
1_1296,1,"[(325, 769, 474, 866)]"
1_1297,1,"[(2010, 1512, 2872, 2081)]"
1_1298,1,"[(160, 148, 258, 219)]"
1_1299,1,"[(196, 131, 224, 160)]"
1_13,1,"[(166, 100, 248, 152)]"
1_130,1,"[(1390, 1607, 1940, 2164)]"
1_1300,1,"[(278, 330, 536, 587)]"
1_1301,1,"[(1070, 1406, 1400, 1817)]"
1_1302,1,"[(1134, 1454, 1347, 1705)]"
1_1303,1,"[(324, 422, 510, 523)]"
1_1304,1,"[(1489, 2379, 2007, 3004)]"
1_1305,1,"[(1097, 939, 1794, 1554)]"
1_1306,1,"[(1169, 1955, 1961, 2569)]"
1_1307,1,"[(933, 1110, 1220, 1458)]"
1_1308,1,"[(329, 42, 495, 258)]"
1_1309,1,"[(1093, 1107, 2390, 2455)]"
1_131,1,"[(375, 435, 458, 518)]"
1_1310,1,"[(1285, 1787, 2350, 2524)]"
1_1311,1,"[(187, 267, 233, 308)]"
1_1312,1,"[(762, 1165, 1835, 2158)]"
1_1313,1,"[(398, 135, 446, 183)]"
1_1314,1,"[(169, 93, 250, 147)]"
1_1315,1,"[(181, 106, 244, 149)]"
1_1316,1,"[(754, 1229, 1769, 2788)]"
1_1317,1,"[(1521, 1839, 2034, 2307)]"
1_1318,1,"[(1099, 2052, 1669, 2628)]"
1_1319,1,"[(150, 289, 262, 388)]"
1_132,1,"[(195, 129, 218, 157)]"
1_1320,1,"[(255, 248, 618, 599)]"
1_1321,1,"[(1677, 1340, 2539, 2240)]"
1_1322,1,"[(360, 423, 473, 511)]"
1_1323,1,"[(352, 249, 569, 478)]"
1_1324,1,"[(189, 229, 235, 266)]"
1_1325,1,"[(1043, 1598, 1859, 2929)]"
1_1326,1,"[(1190, 2283, 1877, 2902)]"
1_1327,1,"[(313, 298, 518, 657)]"
1_1328,1,"[(339, 394, 467, 547)]"
1_1329,1,"[(153, 413, 251, 488)]"
1_133,1,"[(195, 70, 220, 86)]"
1_1330,1,"[(201, 69, 214, 87)]"
1_1331,1,"[(1698, 1448, 2777, 2000)]"
1_1332,1,"[(795, 1333, 1470, 1851)]"
1_1333,1,"[(142, 304, 270, 421)]"
1_1334,1,"[(197, 166, 222, 190)]"
1_1335,1,"[(143, 364, 271, 489)]"
1_1336,1,"[(636, 1454, 1706, 1624)]"
1_1337,1,"[(1567, 1868, 2024, 2357)]"
1_1338,1,"[(1411, 1996, 2006, 2588)]"
1_1339,1,"[(1029, 1308, 2033, 2082)]"
1_134,1,"[(243, 598, 583, 1037)]"
1_1340,1,"[(1069, 736, 1478, 1199)]"
1_1341,1,"[(2810, 1290, 3268, 1811)]"
1_1342,1,"[(185, 419, 223, 468)]"
1_1343,1,"[(394, 450, 439, 498)]"
1_1344,1,"[(888, 1982, 1178, 2335)]"
1_1345,1,"[(864, 1444, 1524, 1842)]"
1_1346,1,"[(176, 33, 237, 63)]"
1_1347,1,"[(168, 126, 251, 183)]"
1_1348,1,"[(189, 225, 229, 265)]"
1_1349,1,"[(151, 313, 264, 411)]"
1_135,1,"[(300, 207, 563, 428)]"
1_1350,1,"[(976, 1174, 1491, 1894)]"
1_1351,1,"[(1397, 1678, 2104, 2386)]"
1_1352,1,"[(1211, 1615, 1985, 2163)]"
1_1353,1,"[(151, 329, 256, 449)]"
1_1354,1,"[(361, 81, 476, 238)]"
1_1355,1,"[(883, 1016, 1939, 1966)]"
1_1356,1,"[(986, 1369, 1527, 1780)]"
1_1357,1,"[(187, 364, 222, 399)]"
1_1358,1,"[(196, 108, 216, 128)]"
1_1359,1,"[(170, 152, 250, 212)]"
1_136,1,"[(349, 95, 499, 216)]"
1_1360,1,"[(164, 158, 259, 204)]"
1_1361,1,"[(1576, 2278, 2032, 2777)]"
1_1362,1,"[(1409, 1101, 2197, 2434)]"
1_1363,1,"[(1076, 1309, 1298, 1650)]"
1_1364,1,"[(165, 125, 246, 176)]"
1_1365,1,"[(367, 426, 466, 531)]"
1_1366,1,"[(362, 427, 466, 530)]"
1_1367,1,"[(180, 71, 244, 131)]"
1_1368,1,"[(194, 136, 233, 167)]"
1_1369,1,"[(1029, 1315, 1379, 1688)]"
1_137,1,"[(172, 220, 245, 281)]"
1_1370,1,"[(1446, 1523, 1948, 2048)]"
1_1371,1,"[(693, 1820, 2020, 2882)]"
1_1372,1,"[(1131, 1444, 1491, 1790)]"
1_1373,1,"[(171, 200, 245, 279)]"
1_1374,1,"[(1428, 1718, 1896, 2258)]"
1_1375,1,"[(333, 755, 485, 868)]"
1_1376,1,"[(2214, 933, 2878, 1664)]"
1_1377,1,"[(1044, 1819, 2110, 2885)]"
1_1378,1,"[(168, 297, 236, 371)]"
1_1379,1,"[(181, 120, 242, 180)]"
1_138,1,"[(1563, 1821, 2046, 2331)]"
1_1380,1,"[(857, 1370, 1388, 1825)]"
1_1381,1,"[(192, 43, 225, 78)]"
1_1382,1,"[(1395, 1436, 2092, 2072)]"
1_1383,1,"[(1078, 1287, 1548, 1749)]"
1_1384,1,"[(694, 1145, 1385, 2211)]"
1_1385,1,"[(185, 60, 240, 95)]"
1_1386,1,"[(161, 251, 255, 331)]"
1_1387,1,"[(823, 1755, 1405, 2036)]"
1_1388,1,"[(654, 1087, 1863, 1442)]"
1_1389,1,"[(161, 147, 247, 201)]"
1_139,1,"[(189, 314, 222, 346)]"
1_1390,1,"[(285, 683, 520, 941)]"
1_1391,1,"[(1430, 1699, 1930, 2267)]"
1_1392,1,"[(158, 181, 250, 244)]"
1_1393,1,"[(1051, 1441, 1571, 1871)]"
1_1394,1,"[(1082, 1804, 1461, 2188)]"
1_1395,1,"[(367, 433, 465, 506)]"
1_1396,1,"[(339, 637, 474, 985)]"
1_1397,1,"[(304, 245, 618, 536)]"
1_1398,1,"[(342, 749, 477, 873)]"
1_1399,1,"[(177, 127, 245, 178)]"
1_14,1,"[(1860, 1447, 2415, 1939)]"
1_140,1,"[(814, 1371, 2185, 3326)]"
1_1400,1,"[(1295, 1577, 2011, 2139)]"
1_1401,1,"[(1242, 1624, 1892, 2303)]"
1_1402,1,"[(1069, 1775, 1397, 2133)]"
1_1403,1,"[(336, 428, 498, 530)]"
1_1404,1,"[(294, 699, 524, 925)]"
1_1405,1,"[(177, 80, 244, 131)]"
1_1406,1,"[(1185, 1327, 2170, 2183)]"
1_1407,1,"[(174, 398, 235, 452)]"
1_1408,1,"[(1157, 696, 1509, 1084)]"
1_1409,1,"[(365, 92, 471, 221)]"
1_141,1,"[(573, 1142, 1700, 2043)]"
1_1410,1,"[(172, 121, 248, 189)]"
1_1411,1,"[(184, 117, 238, 181)]"
1_1412,1,"[(1, 1, 800, 637)]"
1_1413,1,"[(876, 1637, 1873, 2135)]"
1_1414,1,"[(187, 105, 229, 143)]"
1_1415,1,"[(1268, 1152, 1899, 1672)]"
1_1416,1,"[(177, 210, 230, 301)]"
1_1417,1,"[(184, 162, 239, 208)]"
1_1418,1,"[(173, 82, 228, 121)]"
1_1419,1,"[(1050, 2619, 1892, 3166)]"
1_142,1,"[(897, 605, 1139, 2133)]"
1_1420,1,"[(193, 111, 228, 140)]"
1_1421,1,"[(179, 263, 235, 323)]"
1_1422,1,"[(776, 1307, 2461, 2754)]"
1_1423,1,"[(365, 716, 454, 913)]"
1_1424,1,"[(179, 91, 239, 153)]"
1_1425,1,"[(179, 425, 231, 468)]"
1_1426,1,"[(365, 434, 467, 518)]"
1_1427,1,"[(1230, 1255, 1478, 1646)]"
1_1428,1,"[(350, 62, 503, 226)]"
1_1429,1,"[(1453, 2518, 2355, 3271)]"
1_143,1,"[(183, 84, 244, 124)]"
1_1430,1,"[(970, 1502, 1515, 1973)]"
1_1431,1,"[(387, 78, 455, 250)]"
1_1432,1,"[(1079, 1590, 1454, 1854)]"
1_1433,1,"[(385, 786, 433, 835)]"
1_1434,1,"[(191, 90, 231, 142)]"
1_1435,1,"[(1676, 1145, 2221, 1684)]"
1_1436,1,"[(1140, 1894, 1890, 2740)]"
1_1437,1,"[(1251, 1955, 1647, 2379)]"
1_1438,1,"[(818, 2299, 1557, 2824)]"
1_1439,1,"[(1055, 1749, 1542, 2202)]"
1_144,1,"[(362, 421, 470, 529)]"
1_1440,1,"[(1642, 1385, 2590, 2180)]"
1_1441,1,"[(356, 99, 480, 213)]"
1_1442,1,"[(177, 278, 237, 331)]"
1_1443,1,"[(162, 116, 247, 182)]"
1_1444,1,"[(298, 0, 544, 275)]"
1_1445,1,"[(378, 776, 445, 849)]"
1_1446,1,"[(365, 418, 477, 532)]"
1_1447,1,"[(155, 211, 261, 288)]"
1_1448,1,"[(164, 120, 261, 181)]"
1_1449,1,"[(189, 103, 232, 134)]"
1_145,1,"[(959, 1507, 1596, 2132)]"
1_1450,1,"[(910, 946, 1664, 1761)]"
1_1451,1,"[(193, 103, 229, 135)]"
1_1452,1,"[(1210, 922, 2113, 2055)]"
1_1453,1,"[(1733, 2035, 2494, 3012)]"
1_1454,1,"[(1889, 1118, 2492, 1728)]"
1_1455,1,"[(174, 188, 245, 235)]"
1_1456,1,"[(1009, 1322, 1566, 1827)]"
1_1457,1,"[(929, 1880, 1485, 2318)]"
1_1458,1,"[(956, 2744, 1744, 3246)]"
1_1459,1,"[(140, 362, 271, 493)]"
1_146,1,"[(175, 81, 245, 128)]"
1_1460,1,"[(170, 255, 238, 306)]"
1_1461,1,"[(174, 155, 250, 209)]"
1_1462,1,"[(167, 217, 246, 280)]"
1_1463,1,"[(1324, 824, 1485, 2118)]"
1_1464,1,"[(363, 765, 457, 861)]"
1_1465,1,"[(1041, 1115, 1423, 1585)]"
1_1466,1,"[(186, 110, 232, 141)]"
1_1467,1,"[(1061, 1581, 1269, 1829)]"
1_1468,1,"[(509, 1761, 1256, 2521)]"
1_1469,1,"[(157, 414, 255, 483)]"
1_147,1,"[(1106, 1448, 1453, 1801)]"
1_1470,1,"[(1388, 599, 1657, 1011)]"
1_1471,1,"[(894, 1444, 1604, 1923)]"
1_1472,1,"[(985, 1928, 1336, 2309)]"
1_1473,1,"[(1082, 1171, 1727, 1752)]"
1_1474,1,"[(187, 165, 232, 199)]"
1_1475,1,"[(351, 86, 494, 209)]"
1_1476,1,"[(1, 317, 800, 1200)]"
1_1477,1,"[(141, 274, 283, 330)]"
1_1478,1,"[(1350, 1713, 1962, 2273)]"
1_1479,1,"[(258, 59, 582, 269)]"
1_148,1,"[(1428, 1524, 2007, 2121)]"
1_1480,1,"[(171, 241, 248, 332)]"
1_1481,1,"[(153, 339, 259, 439)]"
1_1482,1,"[(299, 337, 538, 589)]"
1_1483,1,"[(193, 159, 229, 195)]"
1_1484,1,"[(186, 276, 231, 329)]"
1_1485,1,"[(942, 624, 2253, 1342)]"
1_1486,1,"[(170, 257, 235, 312)]"
1_1487,1,"[(1840, 1915, 2572, 2788)]"
1_1488,1,"[(876, 1411, 1095, 1585)]"
1_1489,1,"[(267, 692, 535, 970)]"
1_149,1,"[(177, 230, 234, 282)]"
1_1490,1,"[(386, 1, 457, 325)]"
1_1491,1,"[(1071, 2077, 2254, 3233)]"
1_1492,1,"[(1382, 1703, 1765, 2442)]"
1_1493,1,"[(291, 250, 542, 656)]"
